log-TPM	fur__wt_fe	omics__bw_ac	omics__bw_fum	omics__bw_glc	omics__bw_pyr	cra_crp__wt_ac	cra_crp__wt_fru	rpoB__wt_lb	42c__wt_42c	ssw__wt_ac	ssw__wt_glc	ssw__wt_glyc	ssw__wt_xyl	ica__wt_glc	ica__arg_sbt	ica__cytd_rib	ica__gth	ica__leu_glcr	ica__met_glc	ica__no3_anaero	ica__phe_acgam	ica__thm_gal	ica__tyr_glcn	ica__ura_pyr	ica__ade_glc	ytf__wt_glc	ytf__wt_ph5	ytf__wt_ph8
b1837	4.75624298017677	5.501946769243245	4.294308788658105	4.549434237262535	5.028288445956605	2.743536536218085	1.9170779171495749	1.9769869933951552	0	5.35427365857844	4.60922479016659	4.03386371793014	5.48486155111986	2.5325850042389018	2.73387993676718	3.771041836628845	4.830481380863301	2.7856849878179446	1.26836175766107	4.196767309128759	2.179893703561905	2.152324460451805	2.52410095180134	3.3488474239896053	3.212409047461115	3.09832589698556	3.089244204400985	3.308784154867295
b1838	2.958158374493435	3.2015518265899603	3.16263979040845	3.55235923646011	3.66638849309116	2.35892232433103	2.367612623006975	2.746367420233515	3.22101626131318	3.91133416301788	3.28362854170721	5.18338281030027	4.55295727838215	2.801937243189172	2.9656699651408047	3.526706435899505	6.050252971090339	3.047570458746895	2.01848733284719	3.19954581398038	2.446751113784475	3.37758266299148	2.8638012005525	3.111219866147665	3.6367980252496	3.3474290378739404	3.25565500926838	3.2916327783161297
b1839	6.757404368770954	6.553391302647035	6.773218913981189	7.135248063053735	6.715458554463535	4.951704608666195	5.130618111492105	5.273939722711415	6.28882113347905	6.09518122963874	6.95798217394781	6.19213730376981	7.1088961434212	6.281395017903112	5.09346334995325	4.621578927424695	6.745111637893499	6.401568892330015	6.033667919650285	6.536351220269305	5.934392678436085	4.524640417075695	5.27030133207099	6.08684324686519	6.76274307695788	6.3386796239166046	6.662803700469385	6.683116762323305
b1840	6.92831502380177	6.553334757031655	6.491190613441595	7.0861315316100555	6.797951916791815	6.568565283211726	6.687858413162695	6.967217989962675	7.29125277057142	6.03615776777616	7.21932797298902	6.33650408214653	7.51000359681958	6.564847747090361	5.227187698413415	4.434553180433825	6.60832860721465	6.62163214171994	6.013333813155221	7.013505000954755	6.613753057697565	4.821559843679285	5.884388807525346	6.63090398075467	7.1046580539751645	6.649813439494155	7.049248167476176	6.75629623055411
b1841	7.553514927118675	8.015712248897625	7.562675095757335	8.1181023606353	7.80614287194553	7.476309020443456	7.387242283512305	6.901032329097935	7.47768613794168	6.63406905523567	7.86144393018238	7.4485665146154	8.38321959591307	7.018762459266565	5.98499375794332	5.159781632049085	7.0803457257206155	7.15603158003452	6.25987663207105	7.5792025566521	6.682852134734615	4.9066534896842295	6.030750231213499	7.321677130446265	7.276539649201926	7.545690536449165	7.709730597855446	7.363264137168485
b1842	6.50516913416819	7.43946894107398	7.55382618736761	7.21887633843931	7.345557953551889	7.691016266182205	7.166805487521071	3.651898739281955	5.46873540715018	6.68381662001939	6.48397892504718	5.29952727888179	4.42543505906416	5.69746225584086	4.435750946707235	3.757007308502625	7.3740603935074045	5.269927552005544	5.005633581473354	5.739581029490065	5.240283425158346	3.6153600798373704	5.082295122318265	6.10821622560531	5.90702868808369	7.00096133619112	7.25138677373084	6.276976987676135
b1843	5.5345460152311805	6.72948503063965	6.07100970241225	5.982776141832325	6.6843098567498345	6.426929245121505	6.13411390989718	6.360865864084261	5.78421147383108	6.41409546413402	5.72257473725296	6.33444470151025	5.30472620295412	5.247944147451766	7.194707523705545	5.996926950886804	4.799957041912215	5.54226136921201	4.881369870191005	5.92628757683916	5.88047863112498	4.66357417654317	5.618261264919861	6.07407854475338	5.5748954064671405	7.409726027515346	6.16289776316192	6.093965893561885
b1844	6.2026932316245	6.854639710755615	6.702730297400585	6.988703208448619	6.93743442342813	6.374455468434495	6.186325018281989	6.5718605458115995	6.15214929987712	6.97155312808186	6.96232798635264	6.05670828162594	7.21857635404473	6.693147346075652	6.4133214318135305	6.362865889461905	8.260154325220265	7.172211981987495	6.1416880468740995	7.395997425407909	6.769098766465715	6.637188444876375	6.73242195324772	6.996095379381505	6.74349211612778	6.597920870702495	6.97397376627519	6.872149417547015
b1845	5.2462384644508004	5.316683308858215	4.290114418636815	4.937288529026865	4.9169719860717755	5.45030768332051	5.5005085111142655	6.489429297182205	5.59610935869229	5.78882418767304	5.5850809084212	5.23681336515114	5.73468549203499	4.9000684189962875	4.9689175379456945	6.638432527797265	6.509411044123855	5.056256511946925	4.738122172312355	5.422044393722356	5.032101137483576	5.592227616145324	4.58222905330126	4.990444335164385	4.548666489929095	5.826676127448209	6.08959408638311	5.807665427393649
b1846	4.93292681065668	6.352960493520435	6.08691992444737	5.462353065592605	6.335575133490575	6.229065487321055	6.5429834195669745	6.711808641570981	5.03410588113916	5.99822593162063	4.42648501116817	6.36773303921059	5.5891589017503	4.61883512001983	6.532575423327851	6.47171510592512	6.436823671630769	4.55452874397547	4.19624802527436	4.861871194701894	4.211448274890305	5.223526751203905	4.081383302551165	5.440729573400715	5.176353917296905	6.358112082145275	4.355068985099165	5.6729122062376955
