locus_tag,GCI,gene_name
b1082,-0.05178582547401037,flgK
b1083,-0.024463757221034728,flgL
b1086,-0.3606109314979871,rluC
b1087,-0.3974575394949091,yceF
b1088,-0.0763863215130709,yceD
b1090,-0.45990640340269606,plsX
b1091,-0.15039127605161867,fabH
b1094,-0.08966580116025884,acpP
b1096,-0.24023206442937606,pabC
b1098,-0.07564762968498741,tmk
b1100,-0.4523408251608594,ycfH
b1102,-0.34956338426482225,fhuE
b1103,-0.1754751003244861,hinT
b1104,-0.33907526707442304,ycfL
b1106,-0.37318780549300495,thiK
b1107,-0.20467437895346807,nagZ
b1110,-0.103821474771655,ycfJ
b1111,-0.1733933061886869,comR
b1112,-0.022724346872333906,bhsA
b1113,-0.16310691189225868,ldtC
b1115,-0.34463532522556795,ycfT
b1116,-0.3010170844137463,lolC
b1117,-0.1376083425677039,lolD
b1118,-0.5278766802270309,lolE
b1119,-0.33340442843615903,nagK
b1120,-0.146614844459467,cobB
b1123,-0.25271957861149813,potD
b1124,-0.3425501757493663,potC
b1125,-0.20700947088145796,potB
b1126,-0.22610581671920235,potA
b1128,-0.15028015609162862,roxA
b1129,-0.4191188533963124,phoQ
b1130,-0.23971270336902084,phoP
b1132,-0.040617639318651325,hflD
b1133,-0.26013021103132544,mnmA
b1134,-0.47135745277336416,nudJ
b1135,-0.46008037144870095,rluE
b1136,-0.24380309385486193,icd
b1137,-0.4187480859139629,ymfD
b1138,-0.5328396736687231,ymfE
b1139,-0.3771965772887406,lit
b1140,-0.5636702218486686,intE
b1141,-0.4774056147800198,xisE
b1143,-0.12100238705377958,ymfI
b1144,-0.5804603166135757,ymfJ
b1145,-0.19446251255104471,ymfK
b1147,-0.4929738774970789,ymfL
b1155,-0.4327162454270733,tfaP
b1159,-0.48464901576275193,mcrA
b1161,-0.1581636592689595,ycgX
b1162,-0.5854640598638443,bluR
b1163,-0.585613253989158,bluF
b1164,-0.4217462598567233,ycgZ
b1165,-0.4983811765856932,ymgA
b1166,-0.48369425716209175,ariR
b1167,-0.4114968383689754,ymgC
b1168,-0.5799684905189308,pdeG
b1171,-0.15308010017069648,ymgD
b1172,-0.03642031316093216,ymgG
b1174,-0.1964570541680604,minE
b1175,-0.3155675484656341,minD
b1176,-0.15942086535587588,minC
b1177,-0.4015339516459451,ycgJ
b1179,-0.17853903659193895,ycgL
b1180,-0.048942119383485964,ycgM
