locus_tag,mean_exp,gci,gene_name
b1137,3.6232382993151897,-0.41874808591396256,ymfD
b1138,3.639719386144855,-0.5328396736687232,ymfE
b1139,4.422521478069941,-0.37719657728874045,lit
b1140,3.7095135759670623,-0.5636702218486686,intE
b1141,2.5045336536529605,-0.47740561478001986,xisE
b1144,2.1698658981980254,-0.5804603166135758,ymfJ
b1147,1.611444286989364,-0.4929738774970789,ymfL
b1155,2.12506342910712,-0.4327162454270732,tfaP
b1159,4.3401655811470015,-0.4846490157627522,mcrA
b1161,3.2079166029110504,-0.15816365926895956,ycgX
b1163,4.603524467776843,-0.585613253989158,bluF
b1164,3.587458614296757,-0.42174625985672354,ycgZ
b1165,2.867925009429766,-0.4983811765856932,ymgA
b1166,2.09105412408002,-0.483694257162092,ariR
b1167,1.9666785483020273,-0.4114968383689752,ymgC
b1168,1.700157878188464,-0.5799684905189314,pdeG
b1171,5.152699551231254,-0.15308010017069654,ymgD
b1172,3.812229918445889,-0.03642031316093219,ymgG
b1177,5.519321535334889,-0.4015339516459453,ycgJ
b1182,2.6803169928743378,-0.3230431642609767,hlyE
b1183,3.6863261149856568,-0.3991020628419714,umuD
b1184,3.5854715521369753,-0.3788364372987842,umuC
b1191,5.355129081055837,-0.40945175897788166,cvrA
b1194,3.8554119943058303,-0.12725705051251943,ycgR
b1195,3.830065812041126,-0.6059963368882819,ymgE
b1196,2.2887484310461477,-0.415416440331395,ycgY
b1197,5.004727344983849,-0.4858612159910999,treA
b1202,3.9454006745201777,-0.30482952863686225,ycgV
b1213,4.565264630297615,-0.1978616477130631,ychQ
b1217,3.929936813199688,-0.476275121027157,chaB
b1220,4.621502413779007,-0.47302094181651255,ychO
b1225,4.075806399010747,-0.01310408086451235,narH
b1226,3.438590754600318,-8.6743276856811e-4,narJ
b1227,3.675547505598995,-0.05240791512941792,narI
b1242,4.323379461852972,-0.08864416007105948,ychE
b1250,4.885068784842478,-0.42818540824137213,kch
b1257,4.2757684332872365,-0.5174501154854848,yciE
b1258,3.848683378592594,-0.5068500908837928,yciF
b1259,2.488104187235281,-0.6730396748115356,yciG
b1268,3.34815417788346,-0.5248605269413342,yciQ
b1283,5.169442730637642,-0.45364227934837065,osmB
b1285,5.543524446761016,-0.4355264891760354,pdeR
b1289,3.2372245787817557,-0.2058199524739825,ycjD
b1295,4.901990836400222,-0.28429398690559254,ymjA
b1296,3.933699401573378,-0.6050546932928268,puuP
b1298,4.767187811275275,-0.516591959940084,puuD
b1300,4.488444424032053,-0.2890225672519671,puuC
b1301,3.906804166837242,-0.23675296530454135,puuB
b1302,3.651335408176352,-0.29843616156448344,puuE
b1305,2.9453456511911424,-0.24856176420917972,pspB
b1306,4.019104563672303,-0.4432387687196834,pspC
b1309,1.515720748612616,-0.3868782431160443,ycjM
b1310,0.9527211705898352,-0.12466895414716378,ycjN
b1313,2.233866541913356,-0.04493501968403224,ycjQ
b1315,2.3759772929389205,-0.24734626302094564,ycjS
b1316,2.153966376065079,-0.3618866371287904,ycjT
b1319,1.078870637769038,-0.3063374297922724,ompG
b1320,4.814684242967211,-0.4094128635483024,ycjW
b1321,5.4794839029597036,-0.20526794955096864,ycjX
b1322,5.2151267028718,-0.13082625875144485,ycjF
b1327,3.3684651918786535,-0.5307094984068955,ycjY
b1328,4.965516543635682,-0.379649477618503,pgrR
b1330,5.406572384275224,-0.3736280481157762,ynaI
b1335,5.265526568096342,-0.20687536617346092,ogt
b1336,2.244308691408338,-0.6063720815567075,abgT
b1337,2.0974615416678444,-0.5023598117814676,abgB
b1338,1.5892297772556196,-0.2920031521385764,abgA
b1339,4.265713587099983,-0.4583317920211602,abgR
b1340,5.445463536812545,-0.13927397565994354,smrA
b1341,5.447751096091265,-0.541166812586726,dgcM
b1343,4.822538476048008,-0.424606487484354,dbpA
b1345,2.966066051980774,-0.4548635023489208,intR
b1349,3.3933432293530563,-0.2789068175962368,recT
b1350,2.461350906841972,-0.33023037213809303,recE
b1353,2.769728727407073,-0.369854622248172,sieB
b1357,1.9110725757355524,-0.4449651449894491,ydaS
b1359,2.796347859378206,-0.4292229683266955,ydaU
b1360,2.1442034794159266,-0.17749434208397116,ydaV
b1361,2.9861734506987454,-0.4596937267783153,ydaW
b1362,1.9919714079277004,-0.36761355397106216,rzpR
b1363,4.483441770383051,-0.5023859120970938,trkG
b1368,3.340074760663852,-0.3802496850065315,ynaA
b1370,5.177250942588444,-0.02619971161726929,insH-5
b1372,2.5077521600371604,-0.47236942786649583,stfR
b1374,3.6728614994647746,-0.46831527046788135,pinR
b1375,1.9473388084511236,-0.2417745459344083,ynaE
b1377,1.75420629195134,-0.5232623520866282,ompN
b1379,5.0911670857201585,-0.27764949958603663,hslJ
b1380,5.240957163926859,-0.20000514741674627,ldhA
b1383,4.450368178168037,-0.4837410237102602,ydbL
b1384,4.519517741637527,-0.5611398856079894,feaR
b1385,4.2855308302401145,-0.546842350707354,feaB
b1386,3.067502956195174,-0.5307721583536185,tynA
b1392,2.4155088227503816,-0.0343821024681373,paaE
b1397,4.529245978872504,-0.5516888062576776,paaJ
b1398,4.6926650951068725,-0.5092594505670373,paaK
b1399,5.555987901364173,-0.21652477317797905,paaX
b1406,5.3269627238575366,-0.5259530911650115,pdxI
b1407,2.1354510714786827,-0.5505355691157203,ydbD
b1410,2.96131762720716,-0.4417307445374888,ynbC
b1411,3.533767144056312,-0.40321663257861307,ynbD
